Date/Time, Temperature A, Temperature B, Damper 
03/02/2018 15:12:01, 26.9458, 31.87675, 15
03/02/2018 16:12:06, 26.95691, 31.9212, 15
03/02/2018 17:12:12, 26.99858, 31.96565, 15.90909
03/02/2018 18:12:17, 26.92635, 31.91842, 20
03/02/2018 19:12:22, 26.94302, 32.05176, 20
03/02/2018 20:12:27, 26.99025, 32.10177, 20
03/02/2018 21:12:36, 26.9847, 32.11288, 20
03/02/2018 22:12:41, 27.04303, 32.17122, 20
03/02/2018 23:12:50, 27.04025, 32.21845, 20
03/03/2018 00:12:56, 27.11803, 32.21845, 20
03/03/2018 01:13:02, 27.11526, 32.23789, 20
03/03/2018 02:13:07, 27.14026, 32.29067, 20
03/03/2018 03:13:11, 27.11525, 32.34623, 20
03/03/2018 04:13:15, 27.16249, 32.37124, 20
03/03/2018 05:13:22, 27.21804, 32.42957, 20
03/03/2018 06:13:28, 27.22082, 32.43513, 20
03/03/2018 07:13:32, 27.26805, 32.44068, 20
03/03/2018 08:13:36, 27.32361, 32.49625, 20
03/03/2018 09:13:45, 27.37639, 32.54903, 20
03/03/2018 10:13:52, 27.37917, 32.66015, 20
03/03/2018 11:13:57, 27.4514, 32.66848, 20
03/03/2018 12:14:02, 27.4764, 32.67404, 20
03/03/2018 13:14:08, 27.53196, 32.78238, 20
03/03/2018 14:14:11, 27.53473, 32.73238, 20
03/03/2018 15:14:17, 27.60696, 32.84628, 20
03/03/2018 16:14:23, 27.52918, 32.80183, 20
03/03/2018 17:14:27, 27.56807, 32.88239, 20
03/03/2018 18:14:32, 27.59029, 32.94906, 20
03/03/2018 19:14:38, 27.63474, 33.10185, 20
03/03/2018 20:14:42, 27.5514, 33.11296, 20
03/03/2018 21:14:46, 27.64308, 33.19907, 20
03/03/2018 22:14:50, 27.64586, 33.26298, 20
03/03/2018 23:14:55, 27.64308, 33.33798, 20
03/04/2018 00:15:01, 27.69308, 33.40465, 20
03/04/2018 01:15:08, 27.69308, 33.46577, 20
03/04/2018 02:15:12, 27.74586, 33.56578, 20
03/04/2018 03:15:18, 27.77365, 33.59077, 20
03/04/2018 04:15:24, 27.76531, 33.73246, 20
03/04/2018 05:15:29, 27.82365, 33.7269, 20
03/04/2018 06:15:33, 27.81253, 33.77135, 20
03/04/2018 07:15:40, 27.82087, 33.83802, 20
